fixture,team,player_id,name,position,minutes,rating,goals,assists,shots_total,shots_on,passes_total,accurate_passes,pass_accuracy_%,tackles,interceptions,fouls_committed,fouls_drawn,yellow_cards,red_cards,duels_won,duels_total,shots_on_target_ratio,goal_conversion_rate,duel_win_ratio,tackle_success_rate,goal_involvement,cards_total,cards_per_90,fouls_per_90,cards_per_foul,duel_foul_ratio,avg_rating_last_4,avg_goals_last_4,avg_assists_last_4,goal_involvement_last_4,form_index,performance_variance,aggression_index_norm,form_index_team,control_index,opponent,aggression_index_norm_opp,cards_per_90_team,fouls_per_90_team,form_index_team_opp,control_index_opp,cards_per_90_team_opp,fouls_per_90_team_opp,agg_diff,form_diff,control_diff,is_defensive,expected_foul_pressure,expected_card_risk
le havre vs rennes,le havre,344165,Damián Pizarro,F,13,6.5,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,6.923076923076923,0.0,1.0,6.4,0.0,0.0,0.0,3.84,0.01999999999999995,0.45008156277812655,0.275,0.5618942601740766,rennes,0.30607031291364434,2,9.0,0.15000000000000002,0.6419484974666261,0,0,0.14401124986448222,0.125,-0.08005423729254946,0,0.0,0.0
lille vs lyon,lyon,345388,Afonso Moreira,F,15,6.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1,6.0,6.0,1.0,0.5,6.5,0.0,0.0,0.0,3.9,0.0,1.0,-0.3999999999999999,0.5693481017378982,lille,0.8369520209939547,4,20.0,-1.05,0.5912840464145874,0,0,0.16304797900604528,0.6500000000000001,-0.021935944676689245,0,0.0,0.0
lyon vs marseille,lyon,345388,Afonso Moreira,F,19,6.6,0.0,0.0,0.0,0.0,3,3.0,100.0,2.0,1.0,0.0,1.0,0,0,3.0,5.0,0.0,0.0,0.6,0.4,0.0,0,0.0,0.0,0.0,0.0,6.55,0.0,0.0,0.0,3.9299999999999997,0.0049999999999999645,0.6123561936025534,-0.375,0.6760935929513912,marseille,0.425530788372955,3,11.0,-0.8999999999999999,0.5406885021006602,0,0,0.18682540522959845,0.5249999999999999,0.13540509085073094,0,0.0,0.0
lyon vs metz,lyon,345388,Afonso Moreira,F,11,6.5,0.0,0.0,0.0,0.0,3,3.0,100.0,0.0,0.0,1.0,0.0,0,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,8.181818181818182,0.0,0.5,6.533333333333334,0.0,0.0,0.0,3.9200000000000004,0.0033333333333333097,0.4266242481025596,0.0,0.6770038480201317,metz,0.566072524207438,2,15.0,-0.6,0.6414881459062391,0,0,-0.13944827610487842,0.6,0.035515702113892544,0,0.0,0.0
lyon vs toulouse,lyon,345388,Afonso Moreira,F,12,6.3,0.0,0.0,1.0,0.0,2,2.0,100.0,0.0,0.0,1.0,1.0,1,0,2.0,6.0,0.0,0.0,0.3333333333333333,0.0,0.0,1,7.5,7.5,1.0,0.16666666666666666,6.475,0.0,0.0,0.0,3.885,0.015833333333333307,0.4544062249362192,0.05999999999999994,0.7105344600584343,toulouse,0.6708167548781024,3,17.0,-0.7999999999999998,0.4971244005759231,0,0,-0.21641052994188326,0.8599999999999998,0.21341005948251124,0,0.0,0.0
nice vs lyon,lyon,345388,Afonso Moreira,F,13,6.5,0.0,0.0,1.0,0.0,5,5.0,100.0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.475,0.0,0.0,0.0,3.885,0.015833333333333307,0.3902016252045372,0.27999999999999997,0.8047799739161721,nice,0.3229979106507936,1,10.0,0.17500000000000004,0.4705166011358672,0,0,0.06720371455374363,0.10499999999999993,0.3342633727803049,0,0.0,0.0
monaco vs strasbourg,strasbourg,345416,Rafael Luis,M,90,6.6,0.0,0.0,0.0,0.0,63,57.0,90.5,2.0,0.0,1.0,0.0,0,0,3.0,5.0,0.0,0.0,0.6,0.4,0.0,0,0.0,1.0,0.0,0.2,6.6,0.0,0.0,0.0,3.9599999999999995,0.0,0.4346760879296486,0.15000000000000002,0.6620980777632154,monaco,0.4064780809631765,1,12.0,0.78,0.611185434482318,0,0,0.028198006966472122,-0.63,0.050912643280897396,0,0.0,0.0
strasbourg vs angers,strasbourg,345416,Rafael Luis,M,17,6.9,0.0,0.0,0.0,0.0,20,19.0,95.0,1.0,1.0,0.0,0.0,0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0,6.75,0.0,0.0,0.0,4.05,0.04500000000000021,0.4311195825464899,0.6799999999999999,0.7158225555725233,angers,0.3893782760629004,2,11.0,-0.26,0.5723241590214068,0,0,0.041741306483589535,0.94,0.1434983965511165,0,0.0,0.0
strasbourg vs le havre,strasbourg,345416,Rafael Luis,M,70,6.9,0.0,0.0,0.0,0.0,26,24.0,92.3,2.0,0.0,0.0,0.0,0,0,2.0,3.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0,0.0,0.0,0.0,0.0,6.8,0.0,0.0,0.0,4.08,0.030000000000000165,0.2894037302889953,0.6199999999999999,0.6278257083257388,le havre,0.6013237687405105,2,16.0,0.020000000000000018,0.615002963152139,0,0,-0.3119200384515152,0.5999999999999999,0.012822745173599825,0,0.0,0.0
strasbourg vs nantes,strasbourg,345416,Rafael Luis,M,16,6.9,0.0,0.0,1.0,1.0,10,7.0,70.0,2.0,0.0,1.0,0.0,0,0,3.0,5.0,1.0,0.0,0.6,0.4,0.0,0,0.0,5.625,0.0,0.2,6.825,0.0,0.0,0.0,4.095,0.02250000000000013,0.3907083015993907,0.5000000000000001,0.6642352009611184,nantes,0.3053717136419524,2,9.0,-0.21999999999999997,0.6355659427863585,0,0,0.08533658795743826,0.7200000000000001,0.02866925817475996,0,0.0,0.0
auxerre vs lens,lens,347211,Robin Risser,G,90,6.5,0.0,0.0,0.0,0.0,25,17.0,68.0,0.0,0.0,0.0,0.0,1,0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1,1.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,3.9,0.0,0.9658130113214161,-1.4,0.55446718122925,auxerre,0.3732970582126086,3,10.0,-0.3999999999999999,0.5907468556265544,0,0,0.5925159531088074,-1.0,-0.036279674397304396,0,0.0,0.0
