fixture,team,home_team,away_team,home_goals,away_goals,final_score,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %,expected_goals,goals_prevented
Monaco vs Lorient,Monaco,Monaco,Lorient,1,3,1-3,7,5,14,2,9,5,16,4,0,0.62,1,0,1,583,527,0.9,1.25,1
Monaco vs Lorient,Lorient,Monaco,Lorient,1,3,1-3,4,7,14,3,8,6,9,3,1,0.38,0,0,6,371,320,0.86,1.38,1
Paris Saint Germain vs Lille,Paris Saint Germain,Paris Saint Germain,Lille,3,0,3-0,7,4,13,2,6,7,14,4,1,0.61,0,0,4,705,645,0.91,1.4,0
Paris Saint Germain vs Lille,Lille,Paris Saint Germain,Lille,3,0,3-0,4,2,7,1,5,2,6,2,3,0.39,1,0,4,436,369,0.85,1.14,0
Lens vs Auxerre,Lens,Lens,Auxerre,1,0,1-0,7,7,19,5,13,6,19,1,2,0.48,2,0,0,407,329,0.81,2.66,0
Lens vs Auxerre,Auxerre,Lens,Auxerre,1,0,1-0,0,4,5,1,5,0,20,5,0,0.52,5,0,6,434,335,0.77,0.55,0
Toulouse vs Nice,Toulouse,Toulouse,Nice,5,1,5-1,10,7,22,5,17,5,12,6,0,0.43,1,0,5,387,323,0.83,1.84,-1
Toulouse vs Nice,Nice,Toulouse,Nice,5,1,5-1,6,5,15,4,13,2,17,7,1,0.57,2,0,4,516,439,0.85,1.99,-1
Angers vs Marseille,Angers,Angers,Marseille,2,5,2-5,3,2,7,2,6,1,9,6,1,0.34,1,0,6,356,301,0.85,0.94,0
Angers vs Marseille,Marseille,Angers,Marseille,2,5,2-5,11,8,23,4,14,9,8,2,1,0.66,1,0,1,725,673,0.93,3.28,0
Strasbourg vs Metz,Strasbourg,Strasbourg,Metz,2,1,2-1,6,3,14,5,8,6,12,4,2,0.48,2,0,1,479,433,0.9,1.12,0
Strasbourg vs Metz,Metz,Strasbourg,Metz,2,1,2-1,2,4,9,3,4,5,12,1,1,0.52,3,0,5,525,463,0.88,1.08,0
Nantes vs Paris FC,Nantes,Nantes,Paris FC,1,2,1-2,1,3,5,1,2,3,16,1,3,0.48,1,0,1,465,398,0.86,0.36,0
Nantes vs Paris FC,Paris FC,Nantes,Paris FC,1,2,1-2,3,2,10,5,5,5,14,2,0,0.52,3,0,1,501,428,0.85,0.97,0
Rennes vs Le Havre,Rennes,Rennes,Le Havre,1,1,1-1,7,5,19,7,10,9,18,10,5,0.54,1,0,3,392,315,0.8,2.61,0
Rennes vs Le Havre,Le Havre,Rennes,Le Havre,1,1,1-1,4,1,7,2,2,5,14,6,1,0.46,4,0,6,341,249,0.73,0.75,0
Lyon vs Stade Brestois 29,Lyon,Lyon,Stade Brestois 29,2,1,2-1,6,5,19,8,11,8,18,5,2,0.71,2,0,1,645,586,0.91,1.53,1
Lyon vs Stade Brestois 29,Stade Brestois 29,Lyon,Stade Brestois 29,2,1,2-1,2,3,5,0,4,1,8,0,1,0.29,0,1,4,264,185,0.7,0.69,1
Auxerre vs Paris Saint Germain,Auxerre,Auxerre,Paris Saint Germain,0,1,0-1,0,5,8,3,4,4,10,2,2,0.31,0,0,7,303,234,0.77,0.33,0
Auxerre vs Paris Saint Germain,Paris Saint Germain,Auxerre,Paris Saint Germain,0,1,0-1,8,3,16,5,9,7,12,7,0,0.69,1,0,0,692,623,0.9,2.22,0
Rennes vs Lorient,Rennes,Rennes,Lorient,0,2,0-2,5,10,22,7,13,9,18,9,3,0.69,2,0,2,546,483,0.88,1.76,1
Rennes vs Lorient,Lorient,Rennes,Lorient,0,2,0-2,4,1,6,1,5,1,7,3,1,0.31,0,0,5,259,175,0.68,1.29,1
Le Havre vs Monaco,Le Havre,Le Havre,Monaco,0,0,0-0,1,4,7,2,3,4,9,5,1,0.47,0,0,2,349,266,0.76,0.25,0
Le Havre vs Monaco,Monaco,Le Havre,Monaco,0,0,0-0,2,7,10,1,6,4,20,6,5,0.53,3,0,0,402,334,0.83,0.5,0
Marseille vs Lens,Marseille,Marseille,Lens,3,1,3-1,5,2,10,3,4,6,18,2,1,0.54,0,0,1,556,497,0.89,1.0,0
Marseille vs Lens,Lens,Marseille,Lens,3,1,3-1,2,2,7,3,4,3,16,2,4,0.46,3,0,2,471,411,0.87,1.01,0
Nantes vs Nice,Nantes,Nantes,Nice,1,4,1-4,5,11,20,4,14,6,11,4,0,0.56,2,0,0,447,337,0.75,1.59,0
Nantes vs Nice,Nice,Nantes,Nice,1,4,1-4,4,3,7,0,4,3,15,2,3,0.44,3,0,5,370,270,0.73,1.12,0
Stade Brestois 29 vs Toulouse,Stade Brestois 29,Stade Brestois 29,Toulouse,0,2,0-2,5,5,13,3,6,7,16,3,1,0.55,2,0,3,498,399,0.8,1.0,0
Stade Brestois 29 vs Toulouse,Toulouse,Stade Brestois 29,Toulouse,0,2,0-2,5,2,8,1,4,4,16,2,4,0.45,3,0,4,422,340,0.81,0.37,0
Metz vs Lyon,Metz,Metz,Lyon,2,5,2-5,6,2,15,7,7,8,10,6,4,0.53,1,0,5,470,404,0.86,1.3,0
Metz vs Lyon,Lyon,Metz,Lyon,2,5,2-5,10,1,13,2,10,3,5,4,2,0.47,0,0,4,432,355,0.82,2.59,0
Paris FC vs Angers,Paris FC,Paris FC,Angers,0,0,0-0,1,5,8,2,6,2,14,2,2,0.63,1,0,1,624,545,0.87,0.8,0
Paris FC vs Angers,Angers,Paris FC,Angers,0,0,0-0,1,4,7,2,5,2,7,1,1,0.37,1,0,1,365,287,0.79,0.64,0
Lille vs Strasbourg,Lille,Lille,Strasbourg,1,4,1-4,6,11,20,3,17,3,11,8,0,0.47,2,0,2,414,350,0.85,1.89,1
Lille vs Strasbourg,Strasbourg,Lille,Strasbourg,1,4,1-4,6,6,15,3,11,4,13,1,1,0.53,2,0,5,481,421,0.88,3.19,1
Lens vs Le Havre,Lens,Lens,Le Havre,1,0,1-0,3,9,15,3,10,5,20,4,0,0.54,1,0,2,473,399,0.84,2.08,0
Lens vs Le Havre,Le Havre,Lens,Le Havre,1,0,1-0,2,5,8,1,4,4,10,3,0,0.46,2,0,2,410,319,0.78,0.55,0
Paris FC vs Marseille,Paris FC,Paris FC,Marseille,2,2,2-2,4,3,9,2,7,2,12,4,5,0.52,1,0,2,492,429,0.87,1.53,0
Paris FC vs Marseille,Marseille,Paris FC,Marseille,2,2,2-2,4,9,18,5,15,3,15,4,1,0.48,4,0,2,464,397,0.86,2.63,0
Lorient vs Nantes,Lorient,Lorient,Nantes,2,1,2-1,4,1,5,0,3,2,12,1,2,0.57,4,0,1,566,495,0.87,0.52,0
Lorient vs Nantes,Nantes,Lorient,Nantes,2,1,2-1,2,6,10,2,8,2,18,4,2,0.43,5,0,2,419,352,0.84,1.42,0
Monaco vs Rennes,Monaco,Monaco,Rennes,4,0,4-0,6,5,14,3,14,0,15,5,3,0.46,1,0,4,418,331,0.79,2.21,-1
Monaco vs Rennes,Rennes,Monaco,Rennes,4,0,4-0,4,3,8,1,7,1,9,2,5,0.54,2,0,2,496,413,0.83,0.38,-1
Lyon vs Lille,Lyon,Lyon,Lille,1,0,1-0,2,1,3,1,3,0,15,2,1,0.42,1,0,4,415,338,0.81,0.54,0
Lyon vs Lille,Lille,Lyon,Lille,1,0,1-0,4,5,11,2,3,8,11,7,1,0.58,4,0,1,560,500,0.89,0.53,0
Angers vs Metz,Angers,Angers,Metz,1,0,1-0,7,5,17,5,12,5,11,4,1,0.67,2,0,1,666,613,0.92,1.5,0
Angers vs Metz,Metz,Angers,Metz,1,0,1-0,0,2,5,3,4,1,11,3,1,0.33,2,1,6,328,262,0.8,0.45,0
Nice vs Stade Brestois 29,Nice,Nice,Stade Brestois 29,2,2,2-2,7,2,15,6,10,5,15,6,1,0.6,5,0,1,507,427,0.84,1.2,0
Nice vs Stade Brestois 29,Stade Brestois 29,Nice,Stade Brestois 29,2,2,2-2,2,6,12,4,6,6,21,5,0,0.4,3,0,5,338,261,0.77,1.68,0
Toulouse vs Auxerre,Toulouse,Toulouse,Auxerre,0,0,0-0,4,4,12,4,5,7,12,5,2,0.5,1,0,2,459,382,0.83,0.7,0
