fixture,team,player_id,name,position,minutes,rating,goals,assists,shots_total,shots_on,passes_total,accurate_passes,tackles,interceptions,fouls_committed,fouls_drawn,yellow_cards,red_cards,duels_won,duels_total,pass_accuracy_%,shots_on_target_ratio,goal_conversion_rate,duel_win_ratio,tackle_success_rate,goal_involvement,cards_total,cards_per_90,fouls_per_90,cards_per_foul,duel_foul_ratio,avg_rating_last_4,avg_goals_last_4,avg_assists_last_4,goal_involvement_last_4,form_index,performance_variance,aggression_index_norm,form_index_team,control_index,opponent,aggression_index_norm_opp,cards_per_90_team,fouls_per_90_team,form_index_team_opp,control_index_opp,cards_per_90_team_opp,fouls_per_90_team_opp,agg_diff,form_diff,control_diff,is_defensive,expected_foul_pressure,expected_card_risk
tottenham vs aston villa,aston villa,19599,Emiliano Martínez,G,90,6.2,0.0,0,0.0,0.0,31.0,5.9,0.0,0.0,0.0,0.0,0,0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.800000000000001,0.0,0.0,0.0,4.08,0.3000000000000004,0.16762104727365273,-0.18,0.36737256492839354,tottenham,0.4652672163077991,2,11.0,-0.07499999999999996,0.42233482721671856,0,0,-0.29764616903414637,-0.10500000000000004,-0.054962262288325014,0,0.0,0.0
brentford vs chelsea,chelsea,19720,Trevoh Chalobah,D,90,7.7,0.0,0,2.0,0.0,92.0,78.2,1.0,2.0,1.0,2.0,0,0,8.0,10.0,85.0,0.0,0.0,0.8,0.1,0.0,0,0.0,1.0,0.0,0.1,7.7,0.0,0.0,0.0,4.62,0.0,0.3507769112607822,0.4,0.5809542432399969,brentford,0.6179019671305788,3,13.0,0.15000000000000002,0.2868568944881532,0,0,-0.26712505586979657,0.25,0.2940973487518437,0,0.0,0.0
chelsea vs brighton,chelsea,19720,Trevoh Chalobah,D,53,5.3,0.0,0,0.0,0.0,39.0,14.0,0.0,0.0,1.0,0.0,0,1,0.0,1.0,36.0,0.0,0.0,0.0,0.0,0.0,1,1.6981132075471697,1.6981132075471697,1.0,1.0,6.5,0.0,0.0,0.0,3.9,2.880000000000001,0.41830758558125886,-0.1499999999999999,0.43179719968123664,brighton,0.854907637165702,5,16.0,0.33999999999999997,0.3773456975789801,0,0,-0.4366000515844431,-0.4899999999999999,0.05445150210225652,0,0.0,0.0
chelsea vs crystal palace,chelsea,19720,Trevoh Chalobah,D,90,7.5,0.0,0,1.0,0.0,101.0,92.9,0.0,1.0,2.0,1.0,0,0,4.0,8.0,92.0,0.0,0.0,0.5,0.0,0.0,0,0.0,2.0,0.0,0.25,6.833333333333333,0.0,0.0,0.0,4.1,1.7733333333333339,0.4098083815825751,-0.29999999999999993,0.6750138973186683,crystal palace,0.5600478296831735,3,12.0,-0.1499999999999999,0.19716755352325016,0,0,-0.15023944810059836,-0.15000000000000002,0.4778463437954182,0,0.0,0.0
chelsea vs fulham,chelsea,19720,Trevoh Chalobah,D,90,8.2,0.0,0,1.0,0.0,58.0,30.2,5.0,4.0,0.0,3.0,0,0,12.0,15.0,52.0,0.0,0.0,0.8,0.3333333333333333,0.0,0,0.0,0.0,0.0,0.0,7.175,0.0,0.0,0.0,4.305,1.6491666666666667,0.4639583752486978,-0.125,0.5168535515187486,fulham,0.8094351884674467,2,17.0,-0.375,0.37630380563737026,0,0,-0.34547681321874885,0.25,0.1405497458813783,0,0.0,0.0
manchester united vs chelsea,chelsea,19720,Trevoh Chalobah,D,90,7.9,1.0,0,1.0,1.0,76.0,52.4,2.0,0.0,1.0,0.0,1,0,7.0,10.0,69.0,1.0,1.0,0.7,0.2,1.0,1,1.0,1.0,1.0,0.1,7.225,0.25,0.0,0.25,4.435,1.7291666666666667,0.7775365315687899,-0.24,0.534346208765057,manchester united,0.614584167133595,3,13.0,0.18,0.3544096351144657,0,0,0.1629523644351949,-0.42,0.1799365736505913,0,0.0,0.0
nottingham forest vs chelsea,chelsea,19720,Trevoh Chalobah,D,90,7.5,0.0,0,0.0,0.0,67.0,40.9,1.0,0.0,0.0,1.0,0,0,4.0,4.0,61.0,0.0,0.0,1.0,0.25,0.0,0,0.0,0.0,0.0,0.0,7.775,0.25,0.0,0.25,4.765,0.11583333333333352,0.8568769939737683,-0.09999999999999987,0.4023163342260851,nottingham forest,0.581487061325771,2,13.0,-0.16000000000000003,0.424357926031848,0,0,0.27538993264799727,0.060000000000000164,-0.022041591805762928,0,0.0,0.0
west ham vs chelsea,chelsea,19720,Trevoh Chalobah,D,69,7.7,1.0,0,1.0,1.0,48.0,20.2,2.0,0.0,0.0,0.0,0,0,5.0,6.0,42.0,1.0,1.0,0.8333333333333334,0.3333333333333333,1.0,0,0.0,0.0,0.0,0.0,7.825,0.5,0.0,0.5,4.8950000000000005,0.0891666666666669,0.376101341388859,0.4600000000000001,0.55037417349589,west ham,0.17034279937505747,0,7.0,0.08000000000000002,0.4099608459976822,0,0,0.2057585420138015,0.38000000000000006,0.14041332749820784,0,0.0,0.0
leeds vs newcastle,leeds,19760,James Justin,D,10,6.7,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.7,0.0,0.0,0.0,4.02,0.0,0.37354918754502525,-0.06,0.40410204851930326,newcastle,0.6694926936862422,1,15.0,-0.175,0.5173992104261447,0,0,-0.29594350614121695,0.11499999999999999,-0.11329716190684141,0,0.0,0.0
leeds vs tottenham,leeds,19760,James Justin,D,9,6.7,0.0,0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.7,0.0,0.0,0.0,4.02,0.0,0.40942928039702237,-0.019999999999999962,0.45279128197264407,tottenham,0.5611780692425855,3,12.0,0.0,0.3094357674970548,0,0,-0.15174878884556314,-0.019999999999999962,0.14335551447558925,0,0.0,0.0
wolves vs leeds,leeds,19760,James Justin,D,12,6.6,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.666666666666667,0.0,0.0,0.0,4.0,0.003333333333333384,0.3169285911221395,0.33999999999999997,0.35235570554469187,wolves,0.4311481096080473,1,11.0,0.10000000000000003,0.46427114635934613,0,0,-0.11421951848590778,0.23999999999999994,-0.11191544081465427,0,0.0,0.0
brentford vs chelsea,brentford,19789,Ethan Pinnock,D,83,6.9,0.0,0,0.0,0.0,31.0,7.1,1.0,2.0,0.0,1.0,1,0,3.0,6.0,23.0,0.0,0.0,0.5,0.16666666666666666,0.0,1,1.0843373493975905,0.0,0.0,0.0,6.9,0.0,0.0,0.0,4.14,0.0,0.6179019671305788,0.15000000000000002,0.2868568944881532,chelsea,0.3507769112607822,2,9.0,0.4,0.5809542432399969,0,0,0.26712505586979657,-0.25,-0.2940973487518437,0,0.0,0.0
fulham vs brentford,brentford,19789,Ethan Pinnock,D,74,5.5,0.0,0,0.0,0.0,38.0,10.6,1.0,0.0,0.0,1.0,0,0,4.0,9.0,28.0,0.0,0.0,0.4444444444444444,0.1111111111111111,0.0,0,0.0,0.0,0.0,0.0,6.2,0.0,0.0,0.0,3.7199999999999998,0.9800000000000005,0.553234996783384,0.09999999999999998,0.450204253243665,fulham,0.5354425144747726,4,11.0,-0.19999999999999996,0.4029189276554253,0,0,0.0177924823086113,0.29999999999999993,0.04728532558823967,0,0.0,0.0
aston villa vs burnley,burnley,19827,Josh Cullen,M,90,7.3,0.0,0,1.0,1.0,60.0,30.0,7.0,1.0,1.0,3.0,0,0,10.0,13.0,50.0,1.0,0.0,0.7692307692307693,0.5384615384615384,0.0,0,0.0,1.0,0.0,0.07692307692307693,7.3,0.0,0.0,0.0,4.38,0.0,0.6590674110835403,0.2,0.3977282777790939,aston villa,0.3883592355578774,3,9.0,0.10000000000000009,0.5203382192457096,0,0,0.2707081755256629,0.09999999999999992,-0.12260994146661564,0,0.0,0.0
burnley vs leeds,burnley,19827,Josh Cullen,M,90,6.9,0.0,0,0.0,0.0,43.0,16.3,0.0,2.0,1.0,1.0,0,0,2.0,4.0,38.0,0.0,0.0,0.5,0.0,0.0,0,0.0,1.0,0.0,0.25,7.1,0.0,0.0,0.0,4.26,0.07999999999999961,0.4076682942447771,0.30000000000000004,0.2399758080978048,leeds,0.20198511166253103,1,7.0,-0.44999999999999996,0.6018298576662771,0,0,0.20568318258224605,0.75,-0.3618540495684722,0,0.0,0.0
burnley vs liverpool,burnley,19827,Josh Cullen,M,63,7.2,0.0,0,0.0,0.0,16.0,1.9000000000000001,1.0,2.0,0.0,1.0,0,0,3.0,4.0,12.0,0.0,0.0,0.75,0.25,0.0,0,0.0,0.0,0.0,0.0,7.133333333333333,0.0,0.0,0.0,4.279999999999999,0.04333333333333319,0.3837882547559968,-0.09999999999999998,0.11438891605776423,liverpool,0.3555077117695713,2,9.0,-0.09999999999999998,0.765154514110586,0,0,0.028280542986425516,0.0,-0.6507655980528217,0,0.0,0.0
burnley vs nottingham forest,burnley,19827,Josh Cullen,M,90,7.2,0.0,0,0.0,0.0,64.0,36.5,0.0,1.0,0.0,2.0,0,0,2.0,4.0,57.0,0.0,0.0,0.5,0.0,0.0,0,0.0,0.0,0.0,0.0,7.15,0.0,0.0,0.0,4.29,0.02999999999999993,0.49293985584308164,-0.025000000000000022,0.34560146930159563,nottingham forest,0.4369772998805258,1,11.0,-0.04999999999999999,0.6177874514853874,0,0,0.05596255596255584,0.024999999999999967,-0.27218598218379175,0,0.0,0.0
burnley vs sunderland,burnley,19827,Josh Cullen,M,90,8.3,1.0,1,1.0,1.0,61.0,30.5,1.0,0.0,0.0,1.0,0,0,2.0,6.0,50.0,1.0,1.0,0.3333333333333333,0.16666666666666666,2.0,0,0.0,0.0,0.0,0.0,7.4,0.25,0.25,0.5,4.640000000000001,0.38000000000000034,0.2822865862354183,0.18,0.4046688067091516,sunderland,0.08643507030603804,1,5.0,-0.3,0.5746458057649158,0,0,0.19585151592938027,0.48,-0.16997699905576413,0,0.0,0.0
manchester city vs burnley,burnley,19827,Josh Cullen,M,79,6.9,0.0,0,0.0,0.0,33.0,10.6,0.0,3.0,1.0,0.0,0,0,1.0,4.0,32.0,0.0,0.0,0.25,0.0,0.0,0,0.0,1.139240506329114,0.0,0.25,7.4,0.25,0.25,0.5,4.640000000000001,0.38000000000000034,0.26916184174248703,0.05999999999999994,0.25626794405346187,manchester city,0.09136338571822443,1,5.0,0.22499999999999998,0.6888524726762676,0,0,0.17779845602426259,-0.16500000000000004,-0.4325845286228057,0,0.0,0.0
manchester united vs burnley,burnley,19827,Josh Cullen,M,90,6.6,0.0,0,0.0,0.0,50.0,17.0,2.0,0.0,1.0,1.0,0,0,6.0,9.0,34.0,0.0,0.0,0.6666666666666666,0.2222222222222222,0.0,0,0.0,1.0,0.0,0.1111111111111111,7.25,0.25,0.25,0.5,4.55,0.5500000000000005,0.45288211973417764,-0.12,0.2446484965076436,manchester united,0.3213886050698195,1,9.0,0.10000000000000003,0.49542738622633914,0,0,0.13149351466435816,-0.22000000000000003,-0.25077888971869555,0,0.0,0.0
tottenham vs burnley,burnley,19827,Josh Cullen,M,90,7.0,0.0,0,0.0,0.0,36.0,10.8,3.0,3.0,0.0,1.0,0,0,4.0,9.0,30.0,0.0,0.0,0.4444444444444444,0.3333333333333333,0.0,0,0.0,0.0,0.0,0.0,7.2,0.25,0.25,0.5,4.5200000000000005,0.5666666666666672,0.23235986511420753,0.05999999999999994,0.25502400060247077,tottenham,0.584049118788573,0,14.0,0.14,0.5254474654657542,0,0,-0.3516892536743655,-0.08000000000000007,-0.2704234648632834,0,0.0,0.0
