fixture,team,goals,assists,shots_total_x,shots_on_x,passes_total,accurate_passes,fouls_committed,yellow_cards,red_cards,minutes,tackles,interceptions,shots_accuracy_for,pass_accuracy_team,expected_goals,goals_prevented,possession,corners,shots_total_y,shots_on_y,shots_on,shots_total,dominance_index,goal_conversion_rate,shot_on_target_ratio,control_index,cards_total,fouls_per_90_team,cards_per_90_team,cards_per_foul_team,fouls_per_duel_team,aggression_index_raw,aggression_index_norm,avg_goals_last_5,avg_cards_last_5,form_index_team
1. FC Heidenheim vs Werder Bremen,1. FC Heidenheim,2.0,2,21.0,11.0,465,384.0,9.0,1,0,990,12.0,8.0,0.5238095238095238,0.8258064516129032,3.26,0,0.55,12,31,11,0,0,0.43176470588235294,0,0,0.6942807014198126,1,9.0,1,0.1111111111111111,0.45,4.89,0.31578547938274726,1.6,1.4,0.38000000000000006
1899 Hoffenheim vs 1. FC Heidenheim,1. FC Heidenheim,1.0,1,8.0,3.0,343,247.0,13.0,1,0,990,17.0,9.0,0.375,0.7201166180758017,1.11,0,0.4,5,12,3,0,0,0.2482352941176471,0,0,0.5222989238768012,1,13.0,1,0.07692307692307693,0.5,6.8999999999999995,0.5039210726030863,1.8,1.4,0.48000000000000004
Bayer Leverkusen vs 1. FC Heidenheim,1. FC Heidenheim,0.0,0,0.0,0.0,323,259.0,7.0,1,0,993,13.0,12.0,0.0,0.8018575851393189,0.12,0,0.26,1,1,0,0,0,0.12164705882352941,0,0,0.5100804331253792,1,7.0,1,0.14285714285714285,0.28,3.856,0.21900328864153806,1.4,1.2,0.33999999999999997
Borussia Dortmund vs 1. FC Heidenheim,1. FC Heidenheim,2.0,1,10.0,3.0,257,182.0,11.0,2,0,990,19.0,4.0,0.3,0.708171206225681,2.31,0,0.35000000000000003,3,12,3,0,0,0.19294117647058825,0,0,0.46686715794582895,2,11.0,2,0.18181818181818182,0.4782608695652174,6.195652173913043,0.43799425862580976,1.2,1.4,0.18
FC Augsburg vs 1. FC Heidenheim,1. FC Heidenheim,0.0,0,8.0,2.0,470,385.0,9.0,2,0,1000,12.0,15.0,0.25,0.8191489361702128,1.09,0,0.51,5,16,2,0,0,0.2922352941176471,0,0,0.610106540210439,2,9.0,2,0.2222222222222222,0.3333333333333333,5.166666666666666,0.3416814233915169,1.0,1.4,0.08000000000000002
FC St. Pauli vs 1. FC Heidenheim,1. FC Heidenheim,1.0,1,13.0,7.0,594,497.0,15.0,3,0,990,9.0,5.0,0.5384615384615384,0.8367003367003367,2.44,0,0.64,11,20,7,0,0,0.4501176470588235,0,0,0.7268574104429854,3,15.0,3,0.2,1.0714285714285714,8.614285714285714,0.6643778685266163,0.8,1.8,-0.14
FSV Mainz 05 vs 1. FC Heidenheim,1. FC Heidenheim,1.0,0,10.0,4.0,489,376.0,10.0,2,0,990,21.0,10.0,0.4,0.7689161554192229,1.55,0,0.58,1,15,4,0,0,0.2496470588235294,0,0,0.5436599695216126,2,10.0,2,0.2,0.3225806451612903,5.664516129032258,0.3882800323151873,0.8,2.0,-0.19999999999999996
Hamburger SV vs 1. FC Heidenheim,1. FC Heidenheim,1.0,1,14.0,8.0,391,325.0,10.0,1,0,990,14.0,8.0,0.5714285714285714,0.8312020460358056,2.98,0,0.51,12,20,8,0,0,0.4157647058823529,0,0,0.674666940842319,1,10.0,1,0.1,0.45454545454545453,5.390909090909091,0.3626704689188878,1.0,2.0,-0.09999999999999998
RB Leipzig vs 1. FC Heidenheim,1. FC Heidenheim,0.0,0,4.0,3.0,271,194.0,13.0,5,0,990,16.0,7.0,0.75,0.7158671586715867,1.02,0,0.34,3,5,3,0,0,0.18894117647058825,0,0,0.47493623969641996,5,13.0,5,0.38461538461538464,0.5652173913043478,8.11304347826087,0.6174616966750626,0.6,2.6,-0.48000000000000004
Union Berlin vs 1. FC Heidenheim,1. FC Heidenheim,2.0,2,7.0,2.0,451,345.0,10.0,2,0,990,18.0,7.0,0.2857142857142857,0.7649667405764967,0.59,0,0.5700000000000001,5,10,2,0,0,0.3162352941176471,0,0,0.5772867991975005,2,10.0,2,0.2,0.4,5.68,0.38972931950417405,1.0,2.6,-0.28
