fixture,team,home_team,away_team,home_goals,away_goals,final_score,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %,expected_goals,goals_prevented
1.FC Köln vs VfB Stuttgart,VfB Stuttgart,1.FC Köln,VfB Stuttgart,1,2,1-2,5,4,15,6,10,5,12,8,1,0.57,2,0,5,507,431,0.85,1.87,0
Union Berlin vs Hamburger SV,Union Berlin,Union Berlin,Hamburger SV,0,0,0-0,2,6,11,3,8,3,18,5,1,0.34,2,0,6,265,188,0.71,1.37,0
Union Berlin vs Hamburger SV,Hamburger SV,Union Berlin,Hamburger SV,0,0,0-0,6,5,16,5,8,8,17,3,3,0.66,2,1,2,536,472,0.88,1.08,0
1899 Hoffenheim vs 1.FC Köln,1899 Hoffenheim,1899 Hoffenheim,1.FC Köln,0,1,0-1,4,5,15,6,12,3,15,11,1,0.61,3,0,3,502,418,0.83,1.12,1
1899 Hoffenheim vs 1.FC Köln,1.FC Köln,1899 Hoffenheim,1.FC Köln,0,1,0-1,4,5,10,1,7,3,6,6,2,0.39,1,0,4,330,251,0.76,0.94,1
Werder Bremen vs FC St. Pauli,Werder Bremen,Werder Bremen,FC St. Pauli,1,0,1-0,5,3,15,7,8,7,8,4,3,0.41,3,0,3,463,359,0.78,1.86,0
Werder Bremen vs FC St. Pauli,FC St. Pauli,Werder Bremen,FC St. Pauli,1,0,1-0,3,6,13,4,6,7,9,0,1,0.59,1,0,4,652,539,0.83,0.76,0
Borussia Dortmund vs RB Leipzig,Borussia Dortmund,Borussia Dortmund,RB Leipzig,1,1,1-1,3,6,15,6,7,8,13,7,2,0.5,1,0,2,492,417,0.85,0.89,0
Borussia Dortmund vs RB Leipzig,RB Leipzig,Borussia Dortmund,RB Leipzig,1,1,1-1,3,6,13,4,8,5,14,7,3,0.5,3,0,2,497,422,0.85,1.09,0
Bayer Leverkusen vs Union Berlin,Bayer Leverkusen,Bayer Leverkusen,Union Berlin,2,0,2-0,3,12,20,5,8,12,11,4,1,0.74,1,0,3,823,755,0.92,2.87,0
Bayer Leverkusen vs Union Berlin,Union Berlin,Bayer Leverkusen,Union Berlin,2,0,2-0,3,5,10,2,7,3,13,4,0,0.26,3,0,1,279,201,0.72,0.74,0
