player_id,name,team,position,minutes,goals,assists,shots_total,shots_on,passes_total,accurate_passes,tackles,interceptions,fouls_committed,fouls_drawn,yellow_cards,red_cards,duels_won,duels_total,goals_per_90,assists_per_90,shots_accuracy,pass_accuracy_pct,duel_success_rate,defensive_contrib_per_90,discipline_index
199044,Jon Aramburu,Real Sociedad,D,634,0.0,0.0,8.0,2.0,362,286.0,23.0,9.0,16.0,8.0,1,0,41.0,83.0,0.0,0.0,0.25,79.006,49.398,4.543,0.71
199824,Rubén Sánchez,Espanyol,D,140,0.0,0.0,0.0,0.0,59,50.0,0.0,1.0,1.0,0.0,0,0,5.0,17.0,0.0,0.0,,84.746,29.412,0.643,0.161
237066,Rafa Marín,Villarreal,D,720,1.0,0.0,3.0,1.0,424,387.0,17.0,5.0,6.0,2.0,1,0,31.0,51.0,0.125,0.0,0.333,91.274,60.784,2.75,0.312
266202,Ilyas Chaira,Oviedo,F,170,0.0,0.0,3.0,1.0,62,59.0,1.0,1.0,2.0,1.0,0,0,4.0,24.0,0.0,0.0,0.333,95.161,16.667,1.059,0.265
266202,Ilyas Chaira,Oviedo,M,262,0.0,0.0,3.0,2.0,67,59.0,3.0,0.0,4.0,4.0,0,0,12.0,26.0,0.0,0.0,0.667,88.06,46.154,1.031,0.344
266658,Calebe,Alaves,M,73,0.0,0.0,0.0,0.0,31,28.0,4.0,0.0,1.0,3.0,1,0,9.0,13.0,0.0,0.0,,90.323,69.231,4.932,1.541
266658,Calebe Gonçalves,Alaves,M,46,0.0,0.0,0.0,0.0,21,16.0,3.0,0.0,0.0,0.0,0,0,5.0,11.0,0.0,0.0,,76.19,45.455,5.87,0.0
268960,Arsen Zakharyan,Real Sociedad,M,62,0.0,0.0,1.0,0.0,44,39.0,0.0,0.0,1.0,0.0,0,0,0.0,9.0,0.0,0.0,0.0,88.636,0.0,0.0,0.363
269163,Williot Swedberg,Celta Vigo,F,166,0.0,0.0,0.0,0.0,37,32.0,4.0,0.0,7.0,5.0,1,0,10.0,25.0,0.0,0.0,,86.486,40.0,2.169,1.491
269163,Williot Swedberg,Celta Vigo,M,70,0.0,0.0,1.0,0.0,13,9.0,1.0,0.0,2.0,1.0,0,0,3.0,9.0,0.0,0.0,0.0,69.231,33.333,1.286,0.643
