fixture,team,player_id,name,position,minutes,rating,goals,assists,shots_total,shots_on,passes_total,accurate_passes,pass_accuracy_%,tackles,interceptions,fouls_committed,fouls_drawn,yellow_cards,red_cards,duels_won,duels_total,shots_on_target_ratio,goal_conversion_rate,duel_win_ratio,tackle_success_rate,goal_involvement,cards_total,cards_per_90,fouls_per_90,cards_per_foul,duel_foul_ratio,avg_rating_last_4,avg_goals_last_4,avg_assists_last_4,goal_involvement_last_4,form_index,performance_variance,aggression_index_norm,form_index_team,control_index,opponent,aggression_index_norm_opp,cards_per_90_team,fouls_per_90_team,form_index_team_opp,control_index_opp,cards_per_90_team_opp,fouls_per_90_team_opp,agg_diff,form_diff,control_diff,is_defensive,expected_foul_pressure,expected_card_risk
inter vs udinese,inter,275651,Ange-Yoan Bonny,F,13,7.0,0.0,0.0,0.0,0.0,6,6.0,100.0,0.0,0.0,0.0,0.0,0,0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,7.85,0.5,0.75,1.25,5.21,1.9633333333333338,0.24546790788829004,0.9400000000000001,0.7369008458646616,udinese,0.05626326963906581,3,5.0,0.0,0.4543216299677766,0,0,0.18920463824922423,0.9400000000000001,0.28257921589688506,0,0.0,0.0
juventus vs inter,inter,275651,Ange-Yoan Bonny,F,26,6.3,0.0,0.0,0.0,0.0,5,5.0,100.0,2.0,0.0,0.0,1.0,0,0,3.0,7.0,0.0,0.0,0.42857142857142855,0.2857142857142857,0.0,0,0.0,0.0,0.0,0.0,6.95,0.25,0.0,0.25,4.27,0.28333333333333227,0.12314225053078556,1.0999999999999999,0.7019709982585689,juventus,0.20162750569840016,2,14.0,0.12,0.5740700556538405,0,0,-0.07848525516761459,0.9799999999999999,0.1279009426047284,0,0.0,0.0
as roma vs torino,torino,275776,Kristjan Asllani,M,80,7.5,0.0,0.0,0.0,0.0,23,20.0,87.0,2.0,2.0,1.0,1.0,1,0,3.0,5.0,0.0,0.0,0.6,0.4,0.0,1,1.125,1.125,1.0,0.2,7.5,0.0,0.0,0.0,4.5,0.0,0.2633512983831455,-0.3999999999999999,0.4596929367982737,as roma,0.1499780809200856,2,11.0,-0.9333333333333332,0.6947117528991972,0,0,0.11337321746305992,0.5333333333333333,-0.23501881610092346,0,0.0,0.0
lazio vs torino,torino,275776,Kristjan Asllani,M,90,6.5,0.0,0.0,2.0,1.0,55,48.0,87.3,0.0,1.0,1.0,0.0,1,0,0.0,2.0,0.5,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0,0.5,7.0,0.0,0.0,0.0,4.2,0.5,0.3514901050209829,0.06666666666666665,0.5903981921716055,lazio,0.19337947084762372,3,13.0,0.0,0.5493646582240271,0,0,0.15811063417335916,0.06666666666666665,0.04103353394757836,0,0.0,0.0
parma vs torino,torino,275776,Kristjan Asllani,M,71,6.5,0.0,0.0,1.0,0.0,54,45.0,83.3,1.0,0.0,0.0,0.0,0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0,6.833333333333333,0.0,0.0,0.0,4.1,0.33333333333333326,0.17718587145338738,-0.04999999999999993,0.5625366796516177,parma,0.14257716805487503,3,10.0,-0.8999999999999999,0.48410278426083797,0,0,0.03460870339851235,0.85,0.07843389539077972,0,0.0,0.0
torino vs atalanta,torino,275776,Kristjan Asllani,M,90,6.9,0.0,0.0,0.0,0.0,53,49.0,92.5,1.0,1.0,0.0,0.0,0,0,2.0,5.0,0.0,0.0,0.4,0.2,0.0,0,0.0,0.0,0.0,0.0,6.85,0.0,0.0,0.0,4.109999999999999,0.2233333333333333,0.1283307579240945,-0.040000000000000036,0.5292050966145934,atalanta,0.09438097939606487,0,9.0,0.52,0.5906320641047513,0,0,0.03394977852802965,-0.56,-0.06142696749015797,0,0.0,0.0
torino vs fiorentina,torino,275776,Kristjan Asllani,M,81,7.3,0.0,0.0,0.0,0.0,29,24.0,82.8,2.0,1.0,0.0,1.0,0,0,3.0,6.0,0.0,0.0,0.5,0.3333333333333333,0.0,0,0.0,0.0,0.0,0.0,6.8,0.0,0.0,0.0,4.08,0.14666666666666647,0.32857196698450986,-0.07999999999999996,0.5573134462869502,fiorentina,0.18455005716152206,2,13.0,-0.24000000000000005,0.549882486959268,0,0,0.1440219098229878,0.1600000000000001,0.0074309593276822294,0,0.0,0.0
torino vs napoli,torino,275776,Kristjan Asllani,M,84,7.2,0.0,0.0,1.0,0.0,40,34.0,85.0,2.0,1.0,0.0,3.0,0,0,6.0,11.0,0.0,0.0,0.5454545454545454,0.18181818181818182,0.0,0,0.0,0.0,0.0,0.0,6.975,0.0,0.0,0.0,4.185,0.12916666666666668,0.10399314061734444,-0.040000000000000036,0.4929657189013459,napoli,0.1155683488486036,2,9.0,0.38000000000000006,0.7519592617213766,0,0,-0.011575208231259168,-0.4200000000000001,-0.25899354282003073,0,0.0,0.0
as roma vs bologna,as roma,277003,Neil El Aynaoui,M,30,6.6,0.0,0.0,0.0,0.0,10,8.0,80.0,0.0,1.0,0.0,1.0,0,0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.6,0.0,0.0,0.0,3.9599999999999995,0.0,0.20898846376553384,0.2,0.5389221468526388,bologna,0.17470796049408185,1,13.0,-0.44999999999999996,0.5407531392915278,0,0,0.03428050327145199,0.6499999999999999,-0.0018309924388889565,0,0.0,0.0
as roma vs torino,as roma,277003,Neil El Aynaoui,F,45,6.3,0.0,0.0,0.0,0.0,17,17.0,100.0,0.0,1.0,0.0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.449999999999999,0.0,0.0,0.0,3.869999999999999,0.04499999999999981,0.1499780809200856,-0.9333333333333332,0.6947117528991972,torino,0.2633512983831455,3,17.0,-0.3999999999999999,0.4596929367982737,0,0,-0.11337321746305992,-0.5333333333333333,0.23501881610092346,0,0.0,0.0
