fixture,team,home_team,away_team,home_goals,away_goals,final_score,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %,expected_goals,goals_prevented
Real Sociedad vs Rayo Vallecano,Rayo Vallecano,Real Sociedad,Rayo Vallecano,0,1,0-1,2,3,7,2,5,2,21,5,1,0.49,2,0,3,414,328,0.79,0.8,1
Celta Vigo vs Atletico Madrid,Celta Vigo,Celta Vigo,Atletico Madrid,1,1,1-1,4,11,18,3,9,9,7,6,2,0.59,1,0,1,726,659,0.91,1.92,0
Celta Vigo vs Atletico Madrid,Atletico Madrid,Celta Vigo,Atletico Madrid,1,1,1-1,1,4,6,1,4,2,10,3,0,0.41,3,1,3,501,436,0.87,0.3,0
Oviedo vs Espanyol,Oviedo,Oviedo,Espanyol,0,2,0-2,4,5,13,4,7,6,13,3,0,0.61,2,0,8,528,467,0.88,0.77,0
Oviedo vs Espanyol,Espanyol,Oviedo,Espanyol,0,2,0-2,10,5,19,4,15,4,19,5,2,0.39,1,0,4,321,263,0.82,3.74,0
Sevilla vs Mallorca,Sevilla,Sevilla,Mallorca,1,3,1-3,4,2,13,7,11,2,16,9,3,0.58,2,0,3,413,341,0.83,1.26,0
Sevilla vs Mallorca,Mallorca,Sevilla,Mallorca,1,3,1-3,6,1,7,0,6,1,13,2,0,0.42,1,0,3,299,226,0.76,1.85,0
Barcelona vs Girona,Barcelona,Barcelona,Girona,2,1,2-1,9,12,27,6,15,12,27,11,1,0.68,1,0,3,670,615,0.92,1.61,0
Barcelona vs Girona,Girona,Barcelona,Girona,2,1,2-1,4,4,11,3,10,1,11,5,2,0.32,2,0,7,309,261,0.84,1.55,0
Villarreal vs Real Betis,Villarreal,Villarreal,Real Betis,2,2,2-2,3,4,7,0,5,2,13,5,3,0.4,1,0,1,372,293,0.79,0.66,-1
Villarreal vs Real Betis,Real Betis,Villarreal,Real Betis,2,2,2-2,3,7,16,6,11,5,10,6,1,0.6,1,0,2,561,493,0.88,1.18,-1
Atletico Madrid vs Osasuna,Atletico Madrid,Atletico Madrid,Osasuna,1,0,1-0,9,9,18,0,11,7,10,4,6,0.59,1,0,2,529,465,0.88,2.58,1
Atletico Madrid vs Osasuna,Osasuna,Atletico Madrid,Osasuna,1,0,1-0,2,5,9,2,6,3,11,2,1,0.41,3,0,8,366,296,0.81,1.14,1
Elche vs Athletic Club,Elche,Elche,Athletic Club,0,0,0-0,5,4,15,6,11,4,15,6,3,0.69,2,0,1,596,519,0.87,1.04,0
Elche vs Athletic Club,Athletic Club,Elche,Athletic Club,0,0,0-0,1,2,4,1,4,0,4,2,3,0.31,3,0,5,271,199,0.73,0.22,0
Celta Vigo vs Real Sociedad,Celta Vigo,Celta Vigo,Real Sociedad,1,1,1-1,1,3,4,0,2,2,10,1,1,0.42,4,1,6,380,291,0.77,0.95,0
Celta Vigo vs Real Sociedad,Real Sociedad,Celta Vigo,Real Sociedad,1,1,1-1,7,4,17,6,10,7,20,10,8,0.58,3,0,0,512,448,0.88,1.58,0
Levante vs Rayo Vallecano,Levante,Levante,Rayo Vallecano,0,3,0-3,5,5,17,7,9,8,6,11,1,0.54,0,0,1,419,339,0.81,0.85,0
Levante vs Rayo Vallecano,Rayo Vallecano,Levante,Rayo Vallecano,0,3,0-3,5,3,10,2,7,3,18,4,0,0.46,1,0,5,367,302,0.82,1.74,0
Getafe vs Real Madrid,Getafe,Getafe,Real Madrid,0,1,0-1,1,5,7,1,2,5,27,1,2,0.24,4,2,9,194,105,0.54,0.48,0
Getafe vs Real Madrid,Real Madrid,Getafe,Real Madrid,0,1,0-1,10,9,23,4,14,9,11,4,3,0.76,1,0,1,632,550,0.87,1.96,0
