player_id,name,team,position,minutes,goals,assists,shots_total,shots_on,passes_total,accurate_passes,tackles,interceptions,fouls_committed,fouls_drawn,yellow_cards,red_cards,duels_won,duels_total,goals_per_90,assists_per_90,shots_accuracy,pass_accuracy_pct,duel_success_rate,defensive_contrib_per_90,discipline_index
2919,Matz Sels,Nottingham Forest,G,720,0.0,0,0.0,0.0,190,121.0,0.0,0.0,0.0,0.0,1,0,1.0,2.0,0.0,0.0,,63.684,50.0,0.0,0.125
2920,Timothy Castagne,Fulham,D,194,0.0,0,0.0,0.0,65,61.0,6.0,2.0,2.0,1.0,0,0,13.0,22.0,0.0,0.0,,93.846,59.091,3.711,0.232
2920,Timothy Castagne,Fulham,M,212,0.0,0,1.0,1.0,67,52.0,5.0,4.0,2.0,1.0,0,0,10.0,19.0,0.0,0.0,1.0,77.612,52.632,3.821,0.212
2926,Youri Tielemans,Aston Villa,M,315,0.0,0,4.0,1.0,223,191.0,5.0,1.0,6.0,3.0,0,0,12.0,27.0,0.0,0.0,0.25,85.65,44.444,1.714,0.429
2932,Jordan Pickford,Everton,G,720,0.0,0,0.0,0.0,311,187.0,1.0,0.0,0.0,1.0,0,0,3.0,5.0,0.0,0.0,,60.129,60.0,0.125,0.0
2934,Michael Keane,Everton,D,695,1.0,0,6.0,2.0,289,246.0,7.0,8.0,5.0,1.0,0,0,31.0,55.0,0.129,0.0,0.333,85.121,56.364,1.942,0.162
2935,Harry Maguire,Manchester United,D,285,1.0,1,4.0,1.0,131,105.0,1.0,3.0,4.0,0.0,0,0,15.0,28.0,0.316,0.316,0.25,80.153,53.571,1.263,0.316
2936,James Tarkowski,Everton,D,720,0.0,0,1.0,0.0,343,271.0,14.0,6.0,8.0,5.0,1,0,56.0,84.0,0.0,0.0,0.0,79.009,66.667,2.5,0.375
2937,Declan Rice,Arsenal,M,634,1.0,2,4.0,1.0,465,429.0,6.0,3.0,5.0,0.0,0,0,20.0,41.0,0.142,0.284,0.25,92.258,48.78,1.278,0.177
2938,James Ward-Prowse,West Ham,M,415,0.0,0,0.0,0.0,193,173.0,4.0,5.0,4.0,2.0,0,0,9.0,23.0,0.0,0.0,,89.637,39.13,1.952,0.217
2939,Callum Wilson,West Ham,F,172,1.0,0,6.0,4.0,21,13.0,0.0,1.0,3.0,3.0,0,0,11.0,23.0,0.523,0.0,0.667,61.905,47.826,0.523,0.392
2990,Idrissa Gueye,Everton,M,686,1.0,0,7.0,2.0,347,305.0,15.0,7.0,4.0,7.0,0,0,27.0,47.0,0.131,0.0,0.286,87.896,57.447,2.886,0.131
3080,Marshall Munetsi,Wolves,F,270,0.0,1,1.0,0.0,50,30.0,5.0,0.0,5.0,2.0,0,0,16.0,36.0,0.0,0.333,0.0,60.0,44.444,1.667,0.417
3080,Marshall Munetsi,Wolves,M,338,0.0,0,5.0,3.0,59,35.0,9.0,4.0,7.0,4.0,1,0,25.0,53.0,0.0,0.0,0.6,59.322,47.17,3.462,0.732
5996,Enzo Fernández,Chelsea,M,619,3.0,1,10.0,5.0,386,328.0,14.0,4.0,6.0,10.0,1,0,29.0,64.0,0.436,0.145,0.5,84.974,45.312,2.617,0.363
6056,Nicolás Domínguez,Nottingham Forest,M,45,0.0,0,0.0,0.0,38,37.0,2.0,0.0,2.0,0.0,1,0,2.0,3.0,0.0,0.0,,97.368,66.667,4.0,3.0
6168,Omar Alderete,Sunderland,D,668,1.0,1,3.0,2.0,360,304.0,12.0,10.0,6.0,2.0,1,0,36.0,66.0,0.135,0.135,0.667,84.444,54.545,2.964,0.337
6610,Marcos Senesi,Bournemouth,D,708,0.0,2,2.0,1.0,476,375.0,14.0,17.0,7.0,7.0,2,0,42.0,84.0,0.0,0.254,0.5,78.782,50.0,3.941,0.477
6716,Alexis Mac Allister,Liverpool,M,452,0.0,1,3.0,2.0,243,207.0,7.0,5.0,3.0,6.0,0,0,17.0,38.0,0.0,0.199,0.667,85.185,44.737,2.389,0.149
7722,Saša Kalajdžić,Wolves,F,14,0.0,0,0.0,0.0,5,4.0,0.0,1.0,0.0,0.0,0,0,2.0,5.0,0.0,0.0,,80.0,40.0,6.429,0.0
8500,Wataru Endo,Liverpool,M,54,0.0,1,0.0,0.0,22,19.0,3.0,0.0,1.0,1.0,1,0,6.0,10.0,0.0,1.667,,86.364,60.0,5.0,2.083
8598,Taiwo Awoniyi,Nottingham Forest,F,45,0.0,0,1.0,0.0,7,6.0,1.0,0.0,2.0,2.0,0,0,3.0,11.0,0.0,0.0,0.0,85.714,27.273,2.0,1.0
9366,Igor Jesus,Nottingham Forest,F,153,0.0,0,4.0,2.0,40,31.0,4.0,0.0,5.0,1.0,0,0,11.0,24.0,0.0,0.0,0.5,77.5,45.833,2.353,0.735
10135,Bruno Guimarães,Newcastle,M,626,2.0,0,4.0,3.0,298,247.0,15.0,2.0,17.0,22.0,2,0,45.0,104.0,0.288,0.0,0.75,82.886,43.269,2.444,0.899
10329,João Pedro,Chelsea,F,496,0.0,1,2.0,0.0,144,119.0,3.0,3.0,4.0,12.0,0,0,29.0,68.0,0.0,0.181,0.0,82.639,42.647,1.089,0.181
10329,João Pedro,Chelsea,M,180,2.0,2,5.0,3.0,52,45.0,2.0,0.0,2.0,5.0,0,0,16.0,32.0,1.0,1.0,0.6,86.538,50.0,1.0,0.25
13708,Jhon Arias,Wolves,F,287,0.0,0,4.0,2.0,90,84.0,16.0,2.0,3.0,0.0,0,0,22.0,38.0,0.0,0.0,0.5,93.333,57.895,5.645,0.235
13708,Jhon Arias,Wolves,M,149,0.0,0,1.0,0.0,81,71.0,5.0,2.0,4.0,0.0,0,0,9.0,24.0,0.0,0.0,0.0,87.654,37.5,4.228,0.604
13736,Daniel Muñoz,Crystal Palace,M,720,1.0,2,9.0,5.0,225,167.0,24.0,11.0,12.0,7.0,3,0,53.0,95.0,0.125,0.25,0.556,74.222,55.789,4.375,0.75
